container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
1,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQFdQza0fhc1oQ/image-shrink_1080_1080/B4DZY.8Q86HIAk-/0/1744812709398?e=1746878400&v=beta&t=M-E2sUj7RCX1c2V5UjTFbgt_6mb4t8IJwv7Gm-nnYsc', 'https://media.licdn.com/dms/image/v2/D4D10AQHmOrx9mGMlDA/image-shrink_1080_1080/B4DZY.8SgpGwAo-/0/1744812715031?e=1746878400&v=beta&t=7ysJ6GoSGRzR5wYHSV6zc_rSeM7pOQ2ZTpstH8qNF8M', 'https://media.licdn.com/dms/image/v2/D4D10AQG71CqE_lVhXA/image-shrink_1080_1080/B4DZY.8U2kG8Ak-/0/1744812724540?e=1746878400&v=beta&t=cugUS5qKhrAx1UGf9ugTq8ln0BNLHHTY2l3-A4wcAV8', 'https://media.licdn.com/dms/image/v2/D4D10AQGKZR39HXCpPw/image-shrink_1080_1080/B4DZY.8WbvGkAk-/0/1744812731013?e=1746878400&v=beta&t=WkYYzqAYg05bEULNCK6-4wBXDJE4T9vMIEOiOekBPT0', 'https://media.licdn.com/dms/image/v2/D4D10AQGKPM7JbTxBMw/image-shrink_1080_1080/B4DZY.8X8qHwAo-/0/1744812737240?e=1746878400&v=beta&t=U2zJhw7tsSX9RoItKu8ro-4jdyJ-zG9UZLaqDKfNzzM']",Active,/ad-library/detail/665829453,"['/ad-library/detail/665829453', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453', '/ad-library/detail/665829453']",Nike,True,last-30-days
2,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQFdQza0fhc1oQ/image-shrink_1080_1080/B4DZY.8Q86HIAk-/0/1744812709398?e=1746878400&v=beta&t=M-E2sUj7RCX1c2V5UjTFbgt_6mb4t8IJwv7Gm-nnYsc', 'https://media.licdn.com/dms/image/v2/D4D10AQHmOrx9mGMlDA/image-shrink_1080_1080/B4DZY.8SgpGwAo-/0/1744812715031?e=1746878400&v=beta&t=7ysJ6GoSGRzR5wYHSV6zc_rSeM7pOQ2ZTpstH8qNF8M', 'https://media.licdn.com/dms/image/v2/D4D10AQG71CqE_lVhXA/image-shrink_1080_1080/B4DZY.8U2kG8Ak-/0/1744812724540?e=1746878400&v=beta&t=cugUS5qKhrAx1UGf9ugTq8ln0BNLHHTY2l3-A4wcAV8', 'https://media.licdn.com/dms/image/v2/D4D10AQGKZR39HXCpPw/image-shrink_1080_1080/B4DZY.8WbvGkAk-/0/1744812731013?e=1746878400&v=beta&t=WkYYzqAYg05bEULNCK6-4wBXDJE4T9vMIEOiOekBPT0', 'https://media.licdn.com/dms/image/v2/D4D10AQGKPM7JbTxBMw/image-shrink_1080_1080/B4DZY.8X8qHwAo-/0/1744812737240?e=1746878400&v=beta&t=U2zJhw7tsSX9RoItKu8ro-4jdyJ-zG9UZLaqDKfNzzM']",Active,/ad-library/detail/665829453,"['/ad-library/detail/665829453', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665829453?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665829453', '/ad-library/detail/665829453']",Nike,True,last-30-days
3,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
4,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQHmwzsXQtMbdA/image-shrink_1080_1080/B4DZY.7L5vGwAk-/0/1744812426548?e=1746878400&v=beta&t=6eLGnZqDqEmP7DrBeeYSRhyWKwm5gw1SrLtDEes8hnY', 'https://media.licdn.com/dms/image/v2/D4D10AQEqkHUTgqXMqg/image-shrink_1080_1080/B4DZY.7PXyH4Ak-/0/1744812439989?e=1746878400&v=beta&t=Ym5jG7NqxNkzoqpT3ksYtEspLvl773aXgEN8ZrBoha8', 'https://media.licdn.com/dms/image/v2/D4D10AQHv7-Kq3mFWdg/image-shrink_1080_1080/B4DZY.7RaBG8Ak-/0/1744812448183?e=1746878400&v=beta&t=9AkuA7g8ENSV19Us9XyHNrIoL_q0c9vbDhWkF_vHPeE', 'https://media.licdn.com/dms/image/v2/D4D10AQFXeouyWJ2PGg/image-shrink_1080_1080/B4DZY.7TqiG4Ao-/0/1744812457444?e=1746878400&v=beta&t=Nc_VKq7vQcAp1ncsAPxiffR5KqN9UXDH_m4p0Z_cKKg']",Active,/ad-library/detail/665809473,"['/ad-library/detail/665809473', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473', '/ad-library/detail/665809473']",Nike,True,last-30-days
5,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQHmwzsXQtMbdA/image-shrink_1080_1080/B4DZY.7L5vGwAk-/0/1744812426548?e=1746878400&v=beta&t=6eLGnZqDqEmP7DrBeeYSRhyWKwm5gw1SrLtDEes8hnY', 'https://media.licdn.com/dms/image/v2/D4D10AQEqkHUTgqXMqg/image-shrink_1080_1080/B4DZY.7PXyH4Ak-/0/1744812439989?e=1746878400&v=beta&t=Ym5jG7NqxNkzoqpT3ksYtEspLvl773aXgEN8ZrBoha8', 'https://media.licdn.com/dms/image/v2/D4D10AQHv7-Kq3mFWdg/image-shrink_1080_1080/B4DZY.7RaBG8Ak-/0/1744812448183?e=1746878400&v=beta&t=9AkuA7g8ENSV19Us9XyHNrIoL_q0c9vbDhWkF_vHPeE', 'https://media.licdn.com/dms/image/v2/D4D10AQFXeouyWJ2PGg/image-shrink_1080_1080/B4DZY.7TqiG4Ao-/0/1744812457444?e=1746878400&v=beta&t=Nc_VKq7vQcAp1ncsAPxiffR5KqN9UXDH_m4p0Z_cKKg']",Active,/ad-library/detail/665809473,"['/ad-library/detail/665809473', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665809473?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665809473', '/ad-library/detail/665809473']",Nike,True,last-30-days
6,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
7,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQFlWr53N-7czw/image-shrink_1280/B4DZY._KImHsAM-/0/1744813467638/2025Spring_10KSBDom_SingleFrame_1x1_RhodeIslandpng?e=1746878400&v=beta&t=XCG7FTTvIW1UpV0YpiOtvnSHED_UGSKmMKW_obGV8lU']",Active,/ad-library/detail/663133543?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663133543?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663133543', '/ad-library/detail/663133543']",Nike,True,last-30-days
8,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,"['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA', 'https://media.licdn.com/dms/image/v2/D4D10AQFlWr53N-7czw/image-shrink_1280/B4DZY._KImHsAM-/0/1744813467638/2025Spring_10KSBDom_SingleFrame_1x1_RhodeIslandpng?e=1746878400&v=beta&t=XCG7FTTvIW1UpV0YpiOtvnSHED_UGSKmMKW_obGV8lU']",Active,/ad-library/detail/663133543?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663133543?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663133543', '/ad-library/detail/663133543']",Nike,True,last-30-days
9,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
10,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
11,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663171313?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663171313?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663171313', '/ad-library/detail/663171313']",Nike,True,last-30-days
12,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663171313?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663171313?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663171313', '/ad-library/detail/663171313']",Nike,True,last-30-days
13,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
14,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
15,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663133993?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663133993?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663133993', '/ad-library/detail/663133993']",Nike,True,last-30-days
16,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663133993?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663133993?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663133993', '/ad-library/detail/663133993']",Nike,True,last-30-days
17,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
18,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
19,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA'],Active,/ad-library/detail/665838753,"['/ad-library/detail/665838753', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753', '/ad-library/detail/665838753']",Nike,True,last-30-days
20,"10,000 Small Businesses",Promoted,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA,['https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1751500800&v=beta&t=xyhAQxu61FLsAze0-_3RwwG7tQ2GFQ29TgxkDEYJoyA'],Active,/ad-library/detail/665838753,"['/ad-library/detail/665838753', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665838753?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665838753', '/ad-library/detail/665838753']",Nike,True,last-30-days
21,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
22,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665871633,"['/ad-library/detail/665871633', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633', '/ad-library/detail/665871633']",Nike,True,last-30-days
23,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665871633,"['/ad-library/detail/665871633', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665871633?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665871633', '/ad-library/detail/665871633']",Nike,True,last-30-days
24,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
25,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663171553?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663171553?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663171553', '/ad-library/detail/663171553']",Nike,True,last-30-days
26,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/663171553?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/663171553?trk=ad_library_ad_preview_content_image', '/ad-library/detail/663171553', '/ad-library/detail/663171553']",Nike,True,last-30-days
27,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
28,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
29,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665854623,"['/ad-library/detail/665854623', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623', '/ad-library/detail/665854623']",Nike,True,last-30-days
30,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665854623,"['/ad-library/detail/665854623', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665854623?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665854623', '/ad-library/detail/665854623']",Nike,True,last-30-days
31,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
32,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/666078663,"['/ad-library/detail/666078663', '/ad-library/detail/666078663', '/ad-library/detail/666078663']",Nike,True,last-30-days
33,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/666078663,"['/ad-library/detail/666078663', '/ad-library/detail/666078663', '/ad-library/detail/666078663']",Nike,True,last-30-days
34,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
35,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
36,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665890603,"['/ad-library/detail/665890603', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603', '/ad-library/detail/665890603']",Nike,True,last-30-days
37,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665890603,"['/ad-library/detail/665890603', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665890603?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665890603', '/ad-library/detail/665890603']",Nike,True,last-30-days
38,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
39,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/666098163,"['/ad-library/detail/666098163', '/ad-library/detail/666098163', '/ad-library/detail/666098163']",Nike,True,last-30-days
40,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/666098163,"['/ad-library/detail/666098163', '/ad-library/detail/666098163', '/ad-library/detail/666098163']",Nike,True,last-30-days
41,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
42,"10,000 Small Businesses","10,000 Small Businesses",No image found,[],Active,No link found,[],Nike,,last-30-days
43,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665819573,"['/ad-library/detail/665819573', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573', '/ad-library/detail/665819573']",Nike,True,last-30-days
44,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665819573,"['/ad-library/detail/665819573', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665819573?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665819573', '/ad-library/detail/665819573']",Nike,True,last-30-days
45,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
46,"10,000 Small Businesses",Promoted,No image found,[],Active,/ad-library/detail/665881503,"['/ad-library/detail/665881503', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/665881503?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/665881503', '/ad-library/detail/665881503']",Nike,True,last-30-days
